gait,command_df,speed,valid_widths,total_widths,positive_mechanical_cot_median
trot,0.5,0.25,3,5,0.2272471797839674
trot,0.5,0.3,2,5,0.2550788559237683
trot,0.5,0.35,0,5,
trot,0.5,0.4,0,5,
trot,0.625,0.25,5,5,0.2429858606393246
trot,0.625,0.3,5,5,0.2248132422458894
trot,0.625,0.35,5,5,0.2131633287894727
trot,0.625,0.4,5,5,0.2111055912541996
trot,0.75,0.25,5,5,0.3138887507674819
trot,0.75,0.3,5,5,0.2962150214463831
trot,0.75,0.35,5,5,0.2849820386547788
trot,0.75,0.4,5,5,0.2787223874440637
walk,0.75,0.25,5,5,0.3942669921841686
walk,0.75,0.3,5,5,0.3664440575118363
walk,0.75,0.35,5,5,0.3499784130384141
walk,0.75,0.4,5,5,0.344351597706622
