gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
trot,0.25,0.48,0.1,0.5,32,2,0.0625,0,,0.0625,0.09375,0.502685546875,0
trot,0.25,0.48,0.1,0.625,32,32,1.0,1,0.23281605627760474,1.0,1.0,0.625,0
trot,0.25,0.48,0.1,0.75,32,32,1.0,1,0.32166634420647733,1.0,1.0,0.75,0
trot,0.25,0.48,0.2,0.5,32,32,1.0,1,0.2024438077884808,1.0,1.0,0.5,0
trot,0.25,0.48,0.2,0.625,32,32,1.0,1,0.24256261998696887,1.0,1.0,0.625,0
trot,0.25,0.48,0.2,0.75,32,32,1.0,1,0.3129855622683999,1.0,1.0,0.75,0
trot,0.25,0.48,0.3,0.5,32,29,0.90625,1,0.2222553217588111,0.90625,1.0,0.5,0
trot,0.25,0.48,0.3,0.625,32,32,1.0,1,0.23666752545147465,1.0,1.0,0.625,0
trot,0.25,0.48,0.3,0.75,32,32,1.0,1,0.3092304052253399,1.0,1.0,0.75,0
trot,0.25,0.48,0.4,0.5,32,26,0.8125,0,,0.8125,1.0,0.5,0
trot,0.25,0.48,0.4,0.625,32,32,1.0,1,0.2632767640321657,1.0,1.0,0.625,0
trot,0.25,0.48,0.4,0.75,32,32,1.0,1,0.3117527947843115,1.0,1.0,0.75,0
trot,0.25,0.48,0.5,0.5,32,6,0.1875,0,,0.1875,1.0,0.5,0
trot,0.25,0.48,0.5,0.625,32,32,1.0,1,0.28499559728301926,1.0,1.0,0.625,0
trot,0.25,0.48,0.5,0.75,32,32,1.0,1,0.33591952502056793,1.0,1.0,0.75,0
trot,0.3,0.48,0.1,0.5,32,20,0.625,0,,0.625,1.0,0.5,0
trot,0.3,0.48,0.1,0.625,32,32,1.0,1,0.2174982371590039,1.0,1.0,0.625,0
trot,0.3,0.48,0.1,0.75,32,32,1.0,1,0.30087250494408474,1.0,1.0,0.75,0
trot,0.3,0.48,0.2,0.5,32,3,0.09375,0,,0.09375,1.0,0.5,0
trot,0.3,0.48,0.2,0.625,32,32,1.0,1,0.2242124977140027,1.0,1.0,0.625,0
trot,0.3,0.48,0.2,0.75,32,32,1.0,1,0.29617420736726785,1.0,1.0,0.75,0
trot,0.3,0.48,0.3,0.5,32,31,0.96875,1,0.2162019583905465,0.96875,1.0,0.5,0
trot,0.3,0.48,0.3,0.625,32,32,1.0,1,0.2166177697631788,1.0,1.0,0.625,0
trot,0.3,0.48,0.3,0.75,32,32,1.0,1,0.29055046483199726,1.0,1.0,0.75,0
trot,0.3,0.48,0.4,0.5,32,16,0.5,0,,0.5,1.0,0.5,0
trot,0.3,0.48,0.4,0.625,32,32,1.0,1,0.23680772558336924,1.0,1.0,0.625,0
trot,0.3,0.48,0.4,0.75,32,32,1.0,1,0.2945224412943962,1.0,1.0,0.75,0
trot,0.3,0.48,0.5,0.5,32,25,0.78125,0,,0.78125,1.0,0.5,0
trot,0.3,0.48,0.5,0.625,32,32,1.0,1,0.260082103302299,1.0,1.0,0.625,0
trot,0.3,0.48,0.5,0.75,32,32,1.0,1,0.3166717064171649,1.0,1.0,0.75,0
trot,0.35,0.48,0.1,0.5,32,10,0.3125,0,,0.3125,1.0,0.5,0
trot,0.35,0.48,0.1,0.625,32,32,1.0,1,0.2097142261911403,1.0,1.0,0.625,0
trot,0.35,0.48,0.1,0.75,32,32,1.0,1,0.2837406901823824,1.0,1.0,0.75,0
trot,0.35,0.48,0.2,0.5,32,22,0.6875,0,,0.6875,1.0,0.5,0
trot,0.35,0.48,0.2,0.625,32,32,1.0,1,0.2131793713758499,1.0,1.0,0.625,0
trot,0.35,0.48,0.2,0.75,32,32,1.0,1,0.27938298790921734,1.0,1.0,0.75,0
trot,0.35,0.48,0.3,0.5,32,21,0.65625,0,,0.65625,1.0,0.5,0
trot,0.35,0.48,0.3,0.625,32,32,1.0,1,0.20426662139763385,1.0,1.0,0.625,0
trot,0.35,0.48,0.3,0.75,32,32,1.0,1,0.28337418654399443,1.0,1.0,0.75,0
trot,0.35,0.48,0.4,0.5,32,22,0.6875,0,,0.6875,1.0,0.5,0
trot,0.35,0.48,0.4,0.625,32,32,1.0,1,0.2229272528915043,1.0,1.0,0.625,0
trot,0.35,0.48,0.4,0.75,32,32,1.0,1,0.2871195329406204,1.0,1.0,0.75,0
trot,0.35,0.48,0.5,0.5,32,8,0.25,0,,0.25,1.0,0.5,0
trot,0.35,0.48,0.5,0.625,32,32,1.0,1,0.2505263803736504,1.0,1.0,0.625,0
trot,0.35,0.48,0.5,0.75,32,32,1.0,1,0.30645107544691336,1.0,1.0,0.75,0
trot,0.4,0.48,0.1,0.5,32,3,0.09375,0,,0.09375,0.375,0.5,0
trot,0.4,0.48,0.1,0.625,32,32,1.0,1,0.21087137116724705,1.0,1.0,0.625,0
trot,0.4,0.48,0.1,0.75,32,32,1.0,1,0.27142134561876124,1.0,1.0,0.75,0
trot,0.4,0.48,0.2,0.5,32,14,0.4375,0,,0.4375,1.0,0.5,0
trot,0.4,0.48,0.2,0.625,32,32,1.0,1,0.2081600304572575,1.0,1.0,0.625,0
trot,0.4,0.48,0.2,0.75,32,32,1.0,1,0.2734512104080276,1.0,1.0,0.75,0
trot,0.4,0.48,0.3,0.5,32,31,0.96875,1,0.2001297767446195,0.96875,1.0,0.5,0
trot,0.4,0.48,0.3,0.625,32,32,1.0,1,0.20682213763779844,1.0,1.0,0.625,0
trot,0.4,0.48,0.3,0.75,32,32,1.0,1,0.27691676915439034,1.0,1.0,0.75,0
trot,0.4,0.48,0.4,0.5,32,17,0.53125,0,,0.53125,1.0,0.5,0
trot,0.4,0.48,0.4,0.625,32,32,1.0,1,0.2197931393000762,1.0,1.0,0.625,0
trot,0.4,0.48,0.4,0.75,32,32,1.0,1,0.28069752720438634,1.0,1.0,0.75,0
trot,0.4,0.48,0.5,0.5,32,18,0.5625,0,,0.5625,1.0,0.5,0
trot,0.4,0.48,0.5,0.625,32,32,1.0,1,0.24596197038428436,1.0,1.0,0.625,0
trot,0.4,0.48,0.5,0.75,32,32,1.0,1,0.29847857987370546,1.0,1.0,0.75,0
walk,0.25,0.48,0.1,0.5,32,0,0.0,0,,0.03125,0.0,0.6676432291666666,1
walk,0.25,0.48,0.1,0.625,32,0,0.0,0,,0.96875,0.0,0.7187500000000001,1
walk,0.25,0.48,0.1,0.75,32,32,1.0,1,0.3481937682042818,1.0,1.0,0.75,0
walk,0.25,0.48,0.2,0.5,32,0,0.0,0,,0.03125,0.0,0.6767578125,1
walk,0.25,0.48,0.2,0.625,32,0,0.0,0,,1.0,0.0,0.7083333333333334,1
walk,0.25,0.48,0.2,0.75,32,32,1.0,1,0.3465047622645253,1.0,1.0,0.75,0
walk,0.25,0.48,0.3,0.5,32,0,0.0,0,,0.03125,0.0,0.6666666666666666,1
walk,0.25,0.48,0.3,0.625,32,0,0.0,0,,0.03125,0.0,0.7007649739583334,1
walk,0.25,0.48,0.3,0.75,32,32,1.0,1,0.39766647654953363,1.0,1.0,0.75,0
walk,0.25,0.48,0.4,0.5,32,0,0.0,0,,0.0,0.0,0.666748046875,1
walk,0.25,0.48,0.4,0.625,32,0,0.0,0,,1.0,0.0,0.6979166666666667,1
walk,0.25,0.48,0.4,0.75,32,32,1.0,1,0.4669843517401647,1.0,1.0,0.75,0
walk,0.25,0.48,0.5,0.5,32,0,0.0,0,,0.6875,0.0,0.6979166666666667,1
walk,0.25,0.48,0.5,0.625,32,0,0.0,0,,0.875,0.0,0.6892903645833334,1
walk,0.25,0.48,0.5,0.75,32,32,1.0,1,0.5084891789631891,1.0,1.0,0.75,0
walk,0.3,0.48,0.1,0.5,32,0,0.0,0,,0.9375,0.0,0.65625,1
walk,0.3,0.48,0.1,0.625,32,0,0.0,0,,0.625,0.0,0.7186686197916667,1
walk,0.3,0.48,0.1,0.75,32,32,1.0,1,0.32299063373515824,1.0,1.0,0.75,0
walk,0.3,0.48,0.2,0.5,32,0,0.0,0,,0.21875,0.0,0.6673177083333334,1
walk,0.3,0.48,0.2,0.625,32,0,0.0,0,,1.0,0.0,0.7083333333333334,1
