gait,speed,command_df,valid_widths,widths,positive_mechanical_cot_median,periodic_rate,compliance_rate
trot,0.25,0.5,2,5,,0.59375,0.81875
trot,0.25,0.625,5,5,0.24256261998696887,1.0,1.0
trot,0.25,0.75,5,5,0.3129855622683999,1.0,1.0
trot,0.3,0.5,1,5,,0.59375,1.0
trot,0.3,0.625,5,5,0.2242124977140027,1.0,1.0
trot,0.3,0.75,5,5,0.29617420736726785,1.0,1.0
trot,0.35,0.5,0,5,,0.51875,1.0
trot,0.35,0.625,5,5,0.2131793713758499,1.0,1.0
trot,0.35,0.75,5,5,0.2837406901823824,1.0,1.0
trot,0.4,0.5,1,5,,0.51875,0.875
trot,0.4,0.625,5,5,0.21087137116724705,1.0,1.0
trot,0.4,0.75,5,5,0.27691676915439034,1.0,1.0
walk,0.25,0.5,0,5,,0.15625,0.0
walk,0.25,0.625,0,5,,0.775,0.0
walk,0.25,0.75,5,5,0.39766647654953363,1.0,1.0
walk,0.3,0.5,0,5,,0.6,0.0
walk,0.3,0.625,0,5,,0.8375,0.0
walk,0.3,0.75,5,5,0.3674834243362672,1.0,1.0
walk,0.35,0.5,0,5,,0.0625,0.0
walk,0.35,0.625,0,5,,0.63125,0.0
walk,0.35,0.75,5,5,0.35041173791874713,1.0,1.0
walk,0.4,0.5,0,5,,0.1875,0.0
walk,0.4,0.625,0,5,,0.6125,0.0
walk,0.4,0.75,5,5,0.34387919551871055,1.0,1.0
