gait,speed,command_df,achieved_df,command_compliance,periodicity,trials
trot,0.25,0.5,0.500537109375,0.81875,0.59375,160
trot,0.25,0.625,0.625,1.0,1.0,160
trot,0.25,0.75,0.75,1.0,1.0,160
trot,0.3,0.5,0.5,1.0,0.59375,160
trot,0.3,0.625,0.625,1.0,1.0,160
trot,0.3,0.75,0.75,1.0,1.0,160
trot,0.35,0.5,0.5,1.0,0.51875,160
trot,0.35,0.625,0.625,1.0,1.0,160
trot,0.35,0.75,0.75,1.0,1.0,160
trot,0.4,0.5,0.5,0.875,0.51875,160
trot,0.4,0.625,0.625,1.0,1.0,160
trot,0.4,0.75,0.75,1.0,1.0,160
walk,0.25,0.5,0.675146484375,0.0,0.15625,160
walk,0.25,0.625,0.7030110677083334,0.0,0.775,160
walk,0.25,0.75,0.75,1.0,1.0,160
walk,0.3,0.5,0.665771484375,0.0,0.6,160
walk,0.3,0.625,0.7012207031250001,0.0,0.8375,160
walk,0.3,0.75,0.75,1.0,1.0,160
walk,0.35,0.5,0.6579427083333333,0.0,0.0625,160
walk,0.35,0.625,0.695654296875,0.0,0.63125,160
walk,0.35,0.75,0.75,1.0,1.0,160
walk,0.4,0.5,0.6504557291666666,0.0,0.1875,160
walk,0.4,0.625,0.6874186197916667,0.0,0.6125,160
walk,0.4,0.75,0.75,1.0,1.0,160
